list of verbs
may
copy
give
use
included
louise
posting
updated
warn
tell
means
try
defend
perpetrated
believe
will
call
see
frightened
sit
tell
known
greeted
arrive
had
said
suffering
used
written
delivered
ran
follows
count
spending
shall
charmed
see
replied
disconcerted
entered
wearing
spoke
refined
spoke
thought
patronizing
grown
went
kissed
presenting
scented
shining
seated
tell
set
said
altering
could
discerned
can
suffering
can
said
staying
hope
must
put
said
coming
take
thought
canceled
confess
becoming
known
wished
would
put
said
said
wish
believed
tease
decided
know
can
say
replied
decided
decided
burnt
believe
burn
spoke
repeating
overflowed
become
feel
became
disappoint
knew
suit
faded
played
expressed
wished
could
considered
speak
understand
wished
wish
betraying
must
save
recognizes
will
perform
will
forsake
will
fulfill
crush
become
villain
must
avenge
ask
can
rely
will
can
understand
refused
evacuate
wanted
find
seeks
understood
can
understand
wants
desires
promised
promised
will
perform
declared
believe
says
adored
will
save
paused
smiling
think
said
sent
would
captured
will
give
added
becoming
expecting
connected
know
received
heard
shall
meet
said
tell
added
studied
occurred
ask
wants
appointed
wished
obtain
trying
secure
pávlovna
closed
indicate
criticize
desired
recommended
said
named
assumed
mingled
occurred
mentioned
added
deigned
show
clouded
looked
courtierlike
tact
wished
rebuke
daring
speak
done
recommended
console
said
know
came
enraptured
say
bowed
signify
think
continued
drawing
smiling
show
ended
come
think
distributed
given
speak
like
added
admitting
raising
appreciate
deserve
smiled
ca
help
said
would
said
lack
mean
know
assumed
mentioned
pitied
answered
looked
awaiting
frowned
would
said
know
could
turned
said
animated
round
revealed
born
would
could
reproach
said
looking
can
confess
bear
explain
ca
helped
said
expressed
meditated
thought
marrying
asked
say
feel
know
reply
befitting
indicated
considering
know
said
check
costing
rubles
went
will
goes
added
’s
put
lives
known
retire
nicknamed
think
know
married
will
listen
said
taking
drawing
arrange
shall
writes
’s
want
raised
kissed
swung
lay
looking
said
reflecting
’ll
speak
can
arranged
shall
’ll
start
filling
assembled
differing
belonged
came
take
wore
known
married
go
come
introduced
come
said
seen
know
conducted
wearing
come
began
arrive
turning
